1,2,Introduction to Computer Science,4
2,2,Data Structures,4
3,10,C++ Programming,5
4,10,Principles of Networks,4
5,2,Software Design,4
6,10,Relational Databases,4
7,2,Scripting Languages,5
8,9,Calculus,5
9,1,Linear Algebra,4
10,9,Introduction to Matrices,4
11,1,Differential Equations,5
12,9,Modern Geometry,4
13,1,Vector Analysis,4
14,9,Probability & Statistics,5
15,3,English Grammar and Composition,3
16,8,Introduction to Literary Criticism,4
17,8,Modern British Poets,4
18,3,The Romantic Period,3
19,8,Modern American Literature,3
20,3,Shakespearean Plays and Sonnets,4
21,4,Bodies In Motion,5
22,4,Heat, Light, and Sound,5
23,7,Advanced Kinetics,4
24,7,Particle Theory,4
25,0,Introduction to Geophysics,4
26,7,Concepts of Quantum Mechanics,3
27,6,Beginning Spanish I,5
28,5,Beginning Spanish II,5
29,6,Gramática y Composición,4
30,5,Culturas Hispanoaméricas,3
31,6,Literatura del Nuevo Mundo,4
32,5,La Vida Cubana y Puertorriqueña,3
33,6,Literatura Clásica de España,4
34,0,Introduction to Botany,4
35,0,Fundamentals of Hydroponics,4
36,0,Greenhouse Management,5
